,,Lines / clear edges,Faces / people,Evident foreground objects,Geometric structures,Symmetry,Texture elements / repeating pattern
1,ArtRoom,x,,,x,,
4,BedRoom,x,,,,,x
6,bicycle2,x,x,,,,
9,Brasserie_L_Aficion,x,,,x,,
10,brick_house,x,,,x,,x
11,buddha,x,x,,,x,
12,butterfly,,,x,x,,
15,car,x,,x,,,
16,car1,x,,x,x,,
,,,,,,,
19,child,x,x,x,,,
,,,,,,,
21,Deck,x,,,x,,
22,DKNYgirl,,x,x,,,
,,,,,,,
24,face,,x,x,,,
25,family,,x,x,,,x
26,Fatem,x,x,x,,,x
29,foliage,,,,,x,
30,getty,x,,,x,,
31,girls,,x,x,,,x
32,glasses,,x,x,,x,
33,greek_wine,x,,,x,,
39,Johanneskirche,x,,,x,x,
40,jon,,x,x,,,
,,,,,,,
43,Lotus,,,x,,,
,,,,,,,
45,Marblehead_Mass,x,,,x,,x
46,mnm,x,,,x,,x
,,,,,,,
,,,,,,,
50,obama,,x,x,,,
,,,,,,,
,,,,,,,
,,,,,,,
54,painting2,x,,,x,,
,,,,,,,
,,,,,,,
57,Perissa_Santorini,x,,,,,
,,,,,,,
59,Sanfrancisco,x,,x,x,,x
60,SetAngle,x,,,x,x,
67,surfers,x,,x,,,
68,tajmahal,x,,,x,x,
71,tower,x,,,x,,
,,,,,,,
,,,,,,,
,,,,,,,
75,Umdan,x,x,x,,,
76,Unazukin,,x,x,,,
,,,,,,,
78,volleyball,,x,x,,,
,,,,,,,
,,,,,,,
82,Woman,x,x,,,,
